run,group,largest_update,population,genotypes,total_weighted_instructions,instruction_symbol,instruction_name,weighted_count,proportion,detail_spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,j,inc,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,k,dec,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,l,push,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,m,pop,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,n,swap-stk,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,o,swap,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,p,add,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,q,sub,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,r,nand,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,s,repro,400,0.023952095808383235,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,t,repro-semel,67,0.0040119760479041915,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,u,move,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,v,rotate-left-one,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,w,rotate-right-one,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,x,sense-resource0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_3,ecology_test_1_fast,0,167,2,16700,y,sense-faced-resource0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_3/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,a,nop-B,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,b,nop-C,16728,0.9725581395348837,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,c,if-n-equ,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,d,if-less,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
